customer_id,total_purchases,avg_order_value,days_since_last_purchase,total_spend,purchase_frequency_monthly,num_categories_bought,num_returns,true_segment
2100,20,236.78,63,2761.12,3.41,4,2,Loyal
3600,11,73.2,157,1307.03,1.07,3,3,At Risk
4122,4,38.06,250,329.78,0.46,2,0,Lost
30,50,417.67,22,5834.64,3.75,7,0,Champions
66,43,353.1,15,6006.37,4.33,8,1,Champions
839,58,561.22,23,14848.58,4.98,7,0,Champions
3907,5,74.73,267,426.97,0.29,1,1,Lost
3774,1,76.22,266,559.77,0.3,1,1,Lost
4636,1,75.08,328,246.06,0.38,1,1,Lost
3162,15,53.32,170,1404.97,1.13,4,2,At Risk
2660,11,60.56,195,1704.53,0.66,4,3,At Risk
4616,7,42.62,347,271.19,0.39,2,1,Lost
4629,5,43.37,273,313.82,0.45,2,0,Lost
2452,23,291.92,78,1522.73,2.1,4,1,Loyal
2847,7,144.35,123,558.8,0.54,2,1,At Risk
1145,22,120.58,45,4664.67,2.01,6,1,Loyal
3079,18,69.6,110,717.82,0.54,4,3,At Risk
1104,19,278.41,36,2287.17,1.5,3,1,Loyal
169,51,596.99,25,9304.27,3.62,6,0,Champions
1671,28,148.59,37,4987.58,3.33,6,1,Loyal
2571,12,148.42,170,713.97,1.42,2,3,At Risk
2378,32,244.26,82,3680.97,3.49,5,2,Loyal
4396,7,73.85,282,436.42,0.21,2,1,Lost
4258,7,28.55,276,512.65,0.22,1,1,Lost
3863,4,76.5,263,445.97,0.11,1,1,Lost
24,53,511.22,27,6842.25,5.14,7,1,Champions
2634,19,85.46,189,935.48,1.47,4,3,At Risk
3341,10,78.54,111,716.45,0.53,4,1,At Risk
2216,15,220.72,33,1567.37,3.2,3,0,Loyal
3683,6,59.67,101,905.22,1.35,4,2,At Risk
4725,2,55.26,301,146.82,0.15,2,0,Lost
1908,17,128.99,34,3715.6,3.4,5,1,Loyal
85,33,362.8,14,13557.37,3.48,8,1,Champions
228,55,310.06,20,7747.32,4.45,9,0,Champions
297,40,352.92,8,10821.99,5.64,6,1,Champions
1002,16,201.78,44,3034.54,2.01,4,2,Loyal
2139,32,123.24,60,1515.2,2.93,3,1,Loyal
712,40,576.25,5,12925.95,3.89,8,1,Champions
2802,8,118.44,150,568.06,1.36,4,2,At Risk
2528,15,75.2,162,1283.0,1.36,2,1,At Risk
3753,7,71.01,278,232.35,0.25,1,1,Lost
3322,7,124.79,115,784.82,1.02,2,3,At Risk
3182,12,50.06,173,1237.27,1.17,2,2,At Risk
4184,7,65.75,316,213.96,0.4,1,0,Lost
1616,34,122.33,48,1834.4,1.94,5,1,Loyal
3025,8,50.85,123,1934.25,1.2,4,1,At Risk
1414,21,156.78,81,1549.71,2.51,4,0,Loyal
764,36,309.48,27,6915.93,4.84,6,0,Champions
656,33,403.76,22,11224.14,3.02,9,0,Champions
4798,6,64.27,203,577.58,0.41,2,0,Lost
3850,2,38.02,264,427.42,0.32,2,1,Lost
4154,5,75.08,226,588.69,0.29,2,1,Lost
469,58,497.64,5,7995.66,4.46,6,1,Champions
158,31,334.45,23,5636.41,4.5,6,1,Champions
1296,27,265.12,87,2405.39,2.26,3,2,Loyal
498,45,323.09,11,5717.76,4.36,7,0,Champions
4741,1,73.42,308,291.87,0.46,1,1,Lost
2941,13,86.63,145,1284.89,0.98,2,3,At Risk
3457,16,117.07,122,1001.84,1.45,3,1,At Risk
374,53,477.09,5,11234.06,4.91,7,0,Champions
80,37,318.32,28,11761.78,5.29,8,0,Champions
1554,29,287.03,59,4226.74,2.49,3,0,Loyal
1670,22,258.11,72,1914.21,2.99,4,0,Loyal
2132,19,171.16,46,4321.29,2.08,6,1,Loyal
4440,1,58.89,238,512.22,0.43,1,1,Lost
466,57,561.88,12,5723.16,3.43,7,1,Champions
249,59,572.54,18,8690.53,5.28,7,1,Champions
932,56,561.23,1,7857.58,4.23,6,0,Champions
1336,19,232.56,71,4825.24,2.59,5,1,Loyal
4525,5,30.07,352,66.27,0.32,2,0,Lost
1339,23,140.18,47,1637.93,2.85,5,2,Loyal
1407,24,159.48,72,3995.56,1.53,6,2,Loyal
1091,27,223.09,63,2391.81,1.87,4,1,Loyal
4210,2,77.36,290,376.49,0.18,1,0,Lost
743,32,449.67,23,11624.34,5.43,6,0,Champions
2324,23,282.89,29,3600.49,2.92,3,1,Loyal
3602,12,67.72,156,727.56,0.94,3,3,At Risk
2124,33,200.88,57,3519.65,2.97,5,1,Loyal
2095,32,152.61,71,4741.73,2.78,3,0,Loyal
241,42,516.68,5,5511.35,5.01,8,1,Champions
2352,15,205.46,41,3596.92,2.91,3,1,Loyal
1371,28,139.6,24,1742.31,3.44,5,1,Loyal
1058,16,252.49,23,3322.9,2.96,6,0,Loyal
4817,7,26.18,310,469.56,0.38,1,1,Lost
200,52,417.73,22,9820.41,5.71,9,0,Champions
2281,32,105.71,27,1503.58,1.81,3,1,Loyal
4750,5,28.94,325,237.87,0.19,1,1,Lost
2221,15,201.27,38,2360.97,2.7,6,0,Loyal
4772,5,62.89,314,518.07,0.17,1,1,Lost
2820,5,53.27,145,925.4,0.54,4,2,At Risk
3151,12,51.73,176,1808.65,1.47,4,2,At Risk
4257,1,57.74,259,433.17,0.2,2,0,Lost
3108,10,131.81,153,1100.92,0.75,4,2,At Risk
1974,21,225.68,38,4537.24,3.27,5,0,Loyal
1376,26,204.23,78,1654.32,2.42,6,0,Loyal
3969,4,69.96,237,593.43,0.11,1,1,Lost
4063,7,58.03,357,579.41,0.26,2,1,Lost
4446,4,22.76,244,368.15,0.42,1,0,Lost
3558,8,130.92,144,800.81,0.99,4,3,At Risk
965,30,443.75,14,7874.62,4.67,9,1,Champions
180,55,549.19,8,7374.33,4.89,6,1,Champions
3699,9,83.44,195,1670.11,1.49,2,2,At Risk
3822,4,49.42,231,545.92,0.34,2,0,Lost
4879,5,61.03,292,541.7,0.24,1,1,Lost
3900,2,72.2,215,287.11,0.48,1,0,Lost
4488,1,46.54,293,568.71,0.29,2,1,Lost
3239,11,66.86,153,943.06,1.41,3,2,At Risk
2975,16,73.97,124,1070.52,1.05,3,3,At Risk
3581,9,55.54,192,1815.74,0.93,4,3,At Risk
2888,12,104.46,131,1286.35,0.85,3,2,At Risk
2576,13,63.71,118,750.8,0.76,3,3,At Risk
1420,31,160.9,45,4185.09,3.04,6,0,Loyal
3908,5,23.69,273,502.09,0.35,2,1,Lost
4674,5,74.72,355,542.16,0.26,2,0,Lost
4903,7,54.02,292,474.9,0.46,2,0,Lost
1861,28,231.24,68,2445.87,1.9,3,1,Loyal
9,36,407.45,29,11345.82,3.31,7,1,Champions
2895,17,87.43,187,1547.24,1.02,2,3,At Risk
2848,8,127.34,140,1272.83,1.18,2,2,At Risk
3665,18,88.42,128,1118.5,1.02,3,2,At Risk
145,32,377.37,29,13522.64,3.17,7,0,Champions
2105,22,223.79,24,3238.7,1.54,3,1,Loyal
3144,16,141.74,161,683.52,1.19,4,3,At Risk
842,36,407.77,24,10906.38,5.82,8,0,Champions
1129,22,159.85,70,3394.07,1.54,3,1,Loyal
152,38,530.85,12,12945.78,4.25,6,0,Champions
3592,5,132.0,96,1100.83,1.32,2,1,At Risk
1053,26,153.45,63,2873.84,1.69,6,2,Loyal
1591,33,185.5,88,4787.41,1.57,5,1,Loyal
3009,17,105.91,102,1590.05,1.24,2,3,At Risk
2030,32,130.29,32,2356.94,3.44,5,0,Loyal
3419,13,87.91,115,1994.41,0.83,3,2,At Risk
1808,18,156.6,66,2864.21,3.48,5,2,Loyal
2697,17,127.48,117,1158.75,1.04,4,2,At Risk
3040,14,135.8,100,1183.83,1.15,2,2,At Risk
473,32,446.83,25,12070.86,5.47,7,0,Champions
3290,18,133.0,132,1822.21,0.95,2,2,At Risk
4075,6,74.66,237,287.07,0.47,1,1,Lost
3497,5,78.89,90,1913.97,1.4,2,2,At Risk
280,31,477.38,4,8431.67,3.57,9,1,Champions
1742,30,161.95,64,1564.18,3.08,5,1,Loyal
4625,6,43.4,339,73.06,0.27,1,0,Lost
2887,8,105.88,115,1571.88,1.16,2,2,At Risk
1942,26,187.74,63,3446.18,3.21,4,1,Loyal
101,39,372.74,17,11649.85,5.37,7,1,Champions
2805,5,129.07,185,902.93,1.08,3,2,At Risk
3571,9,87.64,156,636.16,0.75,2,1,At Risk
3685,13,139.77,166,1988.36,1.05,3,2,At Risk
3662,17,95.68,136,1462.61,1.0,4,1,At Risk
531,54,333.14,12,8133.48,3.53,7,0,Champions
1887,18,126.41,45,2693.56,1.95,4,1,Loyal
682,39,496.35,4,5762.39,4.64,7,1,Champions
3795,6,48.01,318,361.66,0.15,1,0,Lost
3945,1,60.06,321,362.76,0.45,1,1,Lost
4667,3,68.81,334,460.28,0.11,1,0,Lost
2019,20,293.25,43,1546.98,1.7,3,2,Loyal
1097,30,216.29,26,4252.13,2.79,4,2,Loyal
830,46,514.75,4,9226.29,5.01,6,1,Champions
2806,12,57.55,114,1350.22,1.14,4,2,At Risk
3830,4,33.45,263,179.82,0.46,2,0,Lost
4382,7,76.13,247,290.4,0.23,1,0,Lost
3892,1,41.45,326,536.05,0.48,1,1,Lost
765,57,580.86,15,14182.39,5.82,6,1,Champions
2768,6,100.4,131,1806.8,0.65,2,2,At Risk
4329,2,24.27,246,108.81,0.42,2,0,Lost
3296,12,144.18,183,1229.25,1.17,4,1,At Risk
2195,32,239.77,28,2840.78,2.67,6,1,Loyal
2358,16,125.75,86,3059.11,1.55,4,2,Loyal
3426,13,96.52,130,708.96,1.43,2,1,At Risk
3980,5,79.89,265,584.23,0.27,2,0,Lost
912,37,583.38,23,11727.03,4.72,6,0,Champions
3146,6,60.35,185,704.85,0.88,3,3,At Risk
1000,48,354.34,27,10829.26,5.55,6,0,Champions
3654,17,141.78,154,642.65,1.49,4,2,At Risk
2484,22,273.34,87,4631.62,1.65,6,1,Loyal
4077,4,72.23,352,297.66,0.42,1,0,Lost
2371,28,104.01,42,4368.31,1.89,4,1,Loyal
4839,2,27.22,287,589.29,0.16,2,0,Lost
34,51,454.2,9,14671.27,3.19,6,0,Champions
3790,2,31.92,301,404.45,0.2,1,1,Lost
1021,26,240.64,89,4411.15,3.48,5,2,Loyal
1648,15,156.36,44,1577.55,2.83,4,1,Loyal
734,52,508.49,6,11343.64,5.42,6,0,Champions
4583,5,61.25,254,181.11,0.28,2,1,Lost
3275,10,58.24,164,1426.86,1.49,3,2,At Risk
1621,26,236.11,35,1775.86,1.95,5,1,Loyal
3136,12,50.59,140,744.31,1.1,3,3,At Risk
2690,9,97.97,199,864.2,1.47,4,2,At Risk
2708,9,78.99,179,1955.81,1.48,4,2,At Risk
298,53,449.51,21,8711.72,3.73,6,0,Champions
2340,26,137.9,28,1735.19,3.08,6,1,Loyal
654,34,320.21,20,6958.33,5.27,6,0,Champions
3775,1,70.84,242,580.08,0.25,1,0,Lost
1256,31,273.59,51,1606.19,2.33,4,0,Loyal
4521,5,22.69,264,250.45,0.12,2,1,Lost
231,54,563.03,4,9110.21,5.32,9,0,Champions
3277,19,51.06,159,821.49,1.24,4,2,At Risk
3231,19,108.61,121,555.18,1.17,3,2,At Risk
692,47,595.19,22,5499.79,4.2,6,0,Champions
2755,10,107.94,96,649.65,1.2,3,2,At Risk
4864,2,32.46,237,439.75,0.25,2,1,Lost
970,50,474.05,8,5755.84,5.67,6,1,Champions
634,36,485.08,3,12803.76,5.81,6,1,Champions
4093,2,40.21,331,390.14,0.36,1,0,Lost
4078,1,37.44,258,227.03,0.12,1,0,Lost
1322,18,288.89,55,2536.22,1.64,5,2,Loyal
1832,33,121.02,61,4099.31,3.5,6,2,Loyal
2179,26,164.1,66,1528.11,3.44,4,1,Loyal
1418,29,222.01,47,3287.59,3.04,3,2,Loyal
1783,27,187.32,67,3355.92,2.06,4,1,Loyal
4716,1,69.24,355,444.17,0.25,2,1,Lost
4702,3,74.16,287,261.43,0.36,2,0,Lost
4119,7,60.87,321,198.94,0.37,2,1,Lost
1653,29,131.78,38,4520.02,1.53,3,0,Loyal
1484,17,294.5,51,3175.04,2.37,5,0,Loyal
2276,30,235.13,73,2428.05,2.24,4,2,Loyal
878,42,459.35,21,12270.57,3.92,6,1,Champions
3526,9,137.16,181,1787.27,0.57,3,2,At Risk
2017,24,230.64,70,2016.33,1.74,6,2,Loyal
427,42,416.79,10,14263.83,5.81,7,0,Champions
627,34,523.05,10,7998.01,3.94,6,1,Champions
1590,23,152.8,89,3740.11,2.3,4,0,Loyal
2224,20,258.48,56,3146.88,1.63,5,0,Loyal
2218,22,273.42,80,1999.53,3.42,5,2,Loyal
4484,1,33.8,202,486.66,0.49,1,0,Lost
1486,23,211.96,78,4726.26,2.74,6,1,Loyal
1740,30,145.63,31,3529.38,3.19,6,0,Loyal
2481,26,116.19,53,2873.56,2.88,6,1,Loyal
2585,7,129.17,122,1911.54,1.11,2,1,At Risk
2894,9,149.05,188,1246.03,0.71,4,1,At Risk
150,36,471.48,2,5789.69,4.85,7,1,Champions
677,41,538.44,5,14579.34,3.9,6,0,Champions
1262,33,211.79,80,4736.32,1.56,6,0,Loyal
4918,1,36.4,280,51.79,0.26,1,1,Lost
13,40,531.7,20,10330.29,5.25,9,1,Champions
1834,33,131.69,82,4700.56,2.53,6,2,Loyal
3249,11,76.84,114,1351.1,1.31,4,1,At Risk
1492,25,261.34,43,2901.24,2.66,5,2,Loyal
2728,17,94.67,115,642.34,1.49,2,3,At Risk
3687,16,114.77,133,956.59,0.58,3,1,At Risk
1425,21,270.25,20,3977.52,1.92,3,1,Loyal
4606,2,46.21,290,289.95,0.17,2,0,Lost
4596,2,68.2,234,166.25,0.43,1,1,Lost
732,36,480.01,12,14261.94,4.05,7,1,Champions
1232,26,274.82,44,2131.25,2.84,6,1,Loyal
1635,30,175.92,61,2568.74,2.79,4,0,Loyal
3937,5,56.95,222,282.41,0.22,1,1,Lost
1211,18,113.16,51,1603.17,1.66,4,0,Loyal
3269,18,142.7,129,896.1,0.98,2,3,At Risk
1935,17,256.33,20,2239.5,2.91,3,0,Loyal
554,34,582.82,26,12818.24,4.4,7,1,Champions
492,46,395.73,15,6229.21,4.45,9,1,Champions
2963,5,127.59,119,769.68,1.24,3,1,At Risk
2330,21,220.5,76,3604.84,1.64,6,2,Loyal
2196,21,270.77,82,2656.33,3.48,3,2,Loyal
3065,7,71.1,133,1079.28,1.02,3,3,At Risk
658,53,313.72,26,10782.98,4.99,9,1,Champions
2375,20,261.59,34,2588.92,1.55,5,2,Loyal
2226,19,236.29,35,4466.25,1.98,6,2,Loyal
4265,4,57.52,350,287.77,0.19,1,1,Lost
1171,15,109.92,36,2703.49,1.58,3,0,Loyal
133,36,385.53,28,10406.98,3.48,7,0,Champions
472,30,374.9,8,12945.16,3.92,9,1,Champions
3226,10,67.13,172,859.26,0.73,4,2,At Risk
1406,26,180.18,78,2733.53,3.09,3,2,Loyal
2877,6,127.61,114,1921.94,1.23,3,1,At Risk
4505,4,75.58,241,102.93,0.27,1,0,Lost
4693,4,44.38,255,552.5,0.43,2,1,Lost
2827,6,61.83,196,1434.76,1.33,4,2,At Risk
288,59,461.22,20,8063.13,5.28,8,0,Champions
1870,26,161.24,22,4533.67,2.99,4,0,Loyal
3115,10,69.2,194,795.55,1.29,2,3,At Risk
3626,10,50.03,128,526.57,0.96,2,2,At Risk
2313,33,270.03,88,2383.17,1.71,4,0,Loyal
4924,6,23.67,285,232.6,0.32,1,0,Lost
1619,16,205.88,83,1615.68,1.59,6,2,Loyal
995,34,483.1,6,10875.86,5.24,9,1,Champions
1804,30,159.54,60,4763.72,3.15,3,2,Loyal
2643,13,62.54,191,1253.45,0.82,3,3,At Risk
4803,7,57.31,230,119.0,0.49,2,1,Lost
3536,7,96.32,126,1558.83,1.18,4,1,At Risk
4832,1,76.3,361,204.28,0.16,2,0,Lost
3912,2,59.92,345,512.06,0.24,2,0,Lost
2108,26,104.84,53,1669.98,1.58,6,1,Loyal
3045,15,52.9,108,509.27,1.17,4,2,At Risk
417,41,574.32,16,6092.64,4.87,8,1,Champions
978,30,358.73,29,5151.11,3.38,8,0,Champions
2418,22,279.51,47,2623.58,1.64,5,0,Loyal
506,54,395.63,15,6428.76,4.47,8,0,Champions
4153,6,28.01,213,267.27,0.48,1,0,Lost
4256,6,57.99,223,76.68,0.19,1,1,Lost
3942,4,55.01,338,485.9,0.47,1,0,Lost
415,30,499.51,2,14560.47,3.09,9,0,Champions
4149,4,21.31,343,140.18,0.27,1,0,Lost
1184,18,197.35,57,4377.74,1.71,3,2,Loyal
486,52,577.32,8,7260.29,5.67,6,0,Champions
894,47,436.42,24,12048.71,3.67,6,0,Champions
806,46,560.48,5,6515.95,5.19,6,0,Champions
556,33,482.32,18,5481.86,5.28,8,1,Champions
3826,6,50.28,213,219.94,0.19,2,1,Lost
1198,29,208.02,45,4331.61,1.91,4,1,Loyal
4254,5,26.99,315,257.8,0.4,2,0,Lost
4059,2,58.72,233,219.98,0.26,2,0,Lost
1294,22,227.36,58,3063.11,3.29,5,2,Loyal
2222,31,294.3,63,3239.99,2.2,4,1,Loyal
3505,16,116.04,95,1846.19,1.47,3,1,At Risk
3655,5,116.68,197,705.38,1.26,4,1,At Risk
4759,5,55.16,280,518.19,0.17,2,1,Lost
3007,11,99.13,140,1733.98,0.72,3,2,At Risk
2094,17,159.67,51,3997.1,3.24,5,0,Loyal
2188,31,266.6,23,3784.66,2.63,3,1,Loyal
3037,10,77.33,119,928.76,0.84,3,2,At Risk
3919,6,68.62,317,231.35,0.44,2,0,Lost
1273,24,158.92,84,3999.75,2.15,5,1,Loyal
291,41,404.09,9,12983.8,5.1,7,0,Champions
4828,2,45.44,362,92.35,0.1,2,1,Lost
253,39,584.19,10,5710.08,4.74,8,1,Champions
3246,6,102.52,123,1909.35,1.24,2,1,At Risk
351,54,371.45,8,6541.45,5.79,8,0,Champions
1188,22,152.28,81,3550.64,3.03,5,1,Loyal
1962,34,104.49,65,2202.68,2.06,6,0,Loyal
423,43,521.41,29,13834.65,3.2,6,0,Champions
91,35,524.24,3,10126.55,5.06,7,1,Champions
3730,17,56.49,94,750.85,1.48,3,3,At Risk
2237,30,209.85,57,4362.28,3.49,5,0,Loyal
671,30,433.77,16,5622.03,5.49,9,0,Champions
3041,18,84.24,175,558.22,1.45,3,1,At Risk
27,35,304.36,22,6521.04,5.63,9,1,Champions
430,37,515.71,13,11877.22,3.21,6,0,Champions
684,41,585.26,10,13069.65,4.03,7,1,Champions
4464,2,62.32,266,199.32,0.3,2,0,Lost
3946,4,32.32,322,237.46,0.47,2,1,Lost
3524,15,77.0,98,1807.99,0.75,2,3,At Risk
1542,20,286.43,25,2262.67,1.86,4,2,Loyal
2032,23,254.14,42,3592.75,2.44,6,0,Loyal
2233,30,292.32,31,3630.39,2.55,3,2,Loyal
4121,5,23.09,247,221.18,0.28,1,0,Lost
3236,12,72.7,175,1148.72,1.23,4,1,At Risk
255,53,475.87,6,8547.71,3.47,7,1,Champions
1030,27,269.72,88,3269.55,1.77,3,2,Loyal
4393,7,29.24,321,276.06,0.23,2,1,Lost
3801,1,38.9,323,228.45,0.21,2,0,Lost
4311,4,65.7,228,307.57,0.15,2,0,Lost
2510,19,89.65,92,953.55,0.67,4,1,At Risk
2293,30,241.34,48,1571.72,1.77,5,2,Loyal
1324,31,204.03,67,2092.66,1.85,6,2,Loyal
1551,34,270.59,88,4275.54,2.07,3,0,Loyal
4648,5,55.99,331,101.41,0.22,1,0,Lost
316,45,362.97,11,11771.21,5.24,6,1,Champions
1243,21,291.96,50,1684.25,3.11,4,2,Loyal
2451,32,135.93,29,3241.51,3.26,5,0,Loyal
1579,34,225.83,77,3748.49,2.2,4,1,Loyal
4626,4,46.19,282,155.85,0.5,2,1,Lost
3117,13,90.12,93,832.18,1.04,2,3,At Risk
70,55,361.9,2,9503.51,5.47,9,1,Champions
860,38,429.27,11,8692.81,3.49,6,1,Champions
2754,19,73.04,152,1114.97,1.48,2,2,At Risk
1633,29,285.4,76,4900.19,1.58,4,1,Loyal
1651,17,230.82,25,3770.26,3.04,6,2,Loyal
3861,6,26.17,220,286.22,0.34,2,0,Lost
3107,12,87.87,130,1086.09,1.38,2,3,At Risk
1075,32,189.36,73,1987.06,1.66,3,0,Loyal
4002,6,36.42,327,75.12,0.41,2,1,Lost
788,39,592.76,17,9975.4,3.5,8,0,Champions
2606,17,69.27,107,1553.47,1.35,2,3,At Risk
3631,16,123.82,106,1929.58,1.14,4,1,At Risk
2122,28,130.11,89,3801.49,3.19,5,0,Loyal
1875,17,216.86,64,3681.07,2.42,3,2,Loyal
812,37,596.29,7,6278.67,4.29,9,0,Champions
388,59,427.56,26,6306.52,5.88,7,0,Champions
2883,19,99.3,121,1944.25,1.47,3,3,At Risk
1176,28,112.5,74,2379.05,1.69,4,0,Loyal
3198,18,119.61,126,1485.16,1.31,2,3,At Risk
2624,12,105.05,125,1480.15,0.6,4,2,At Risk
1352,31,209.87,85,3217.27,1.6,6,1,Loyal
411,37,570.01,23,9075.84,5.21,7,0,Champions
4213,6,76.69,333,173.9,0.48,2,1,Lost
110,57,478.08,6,10466.48,3.31,7,0,Champions
4996,2,51.77,243,220.0,0.38,1,1,Lost
3430,9,96.38,152,1713.75,1.41,2,3,At Risk
2810,18,50.77,103,1715.5,1.02,3,3,At Risk
2595,6,61.02,142,1646.83,1.43,2,2,At Risk
2837,5,76.57,137,924.99,0.81,4,3,At Risk
2373,31,213.86,65,1732.44,2.42,4,0,Loyal
1236,16,226.11,45,1544.08,2.1,3,1,Loyal
2147,19,246.85,61,2994.87,1.94,3,1,Loyal
4976,7,61.5,235,597.89,0.4,2,1,Lost
600,50,555.36,20,9928.65,3.2,8,1,Champions
1435,28,102.52,52,3215.78,3.44,3,2,Loyal
4997,1,27.02,318,326.95,0.18,2,1,Lost
539,46,428.33,28,11870.19,5.61,6,0,Champions
722,34,319.26,19,7473.4,5.08,9,1,Champions
4411,4,47.75,342,207.91,0.41,2,0,Lost
1873,25,156.11,23,1540.5,1.7,5,0,Loyal
2846,14,57.17,192,1854.37,1.24,3,2,At Risk
2054,34,116.14,58,4562.93,1.62,4,2,Loyal
2908,18,67.78,133,1290.66,0.9,2,3,At Risk
2255,17,198.47,47,2218.45,1.7,3,1,Loyal
3913,2,37.83,337,505.72,0.18,1,1,Lost
178,30,404.66,16,10916.97,4.42,8,0,Champions
2891,13,124.11,130,1220.87,0.86,2,2,At Risk
3674,8,105.18,102,1444.04,0.98,2,1,At Risk
81,44,383.06,7,8251.04,4.23,9,1,Champions
2562,5,71.84,163,1794.6,0.52,4,2,At Risk
1724,31,238.01,54,4306.12,3.48,3,2,Loyal
1618,33,260.31,78,3764.89,2.73,6,0,Loyal
1655,30,189.14,55,4980.58,1.54,3,2,Loyal
2329,17,261.15,61,3118.97,2.6,6,2,Loyal
4614,1,24.88,259,211.33,0.24,2,0,Lost
222,41,568.17,27,10074.12,5.17,6,0,Champions
94,33,514.0,18,5331.89,3.93,7,1,Champions
2610,19,70.36,173,1245.89,0.81,3,3,At Risk
3383,18,127.6,113,1129.0,0.74,2,2,At Risk
4416,6,31.23,224,571.74,0.16,2,1,Lost
1398,28,274.9,51,3037.24,1.66,3,1,Loyal
4687,5,28.8,209,68.48,0.42,1,0,Lost
1293,23,133.88,24,3068.8,2.99,3,2,Loyal
2165,22,254.42,45,1632.78,3.18,3,0,Loyal
2940,14,98.75,151,1495.74,1.36,3,3,At Risk
3669,19,76.68,159,1014.54,0.91,3,1,At Risk
813,39,312.03,18,12655.47,4.14,9,1,Champions
1259,22,242.91,71,3455.47,3.11,6,0,Loyal
890,32,301.48,3,12037.0,3.15,6,1,Champions
1452,24,102.2,37,2475.65,3.41,3,1,Loyal
3317,6,75.06,151,1392.51,0.94,3,3,At Risk
2560,17,132.24,101,713.0,0.69,4,2,At Risk
3575,12,87.87,92,1362.73,0.56,2,1,At Risk
2681,11,56.53,143,504.69,0.74,2,1,At Risk
4652,1,31.1,363,265.87,0.47,1,1,Lost
4812,3,67.89,251,120.54,0.27,1,1,Lost
4680,3,67.86,334,407.17,0.28,2,0,Lost
2965,7,139.03,199,1752.4,0.64,2,3,At Risk
2673,10,138.42,187,1689.98,0.59,2,3,At Risk
562,32,533.88,19,7088.83,5.31,7,0,Champions
2779,15,91.47,138,621.63,1.48,3,1,At Risk
2949,7,97.18,116,1444.22,0.74,3,2,At Risk
2818,8,95.25,147,1634.91,0.94,3,3,At Risk
2759,9,148.88,150,1143.07,0.63,3,3,At Risk
1757,27,299.36,59,3526.28,2.69,3,1,Loyal
725,32,539.27,19,6627.0,4.84,8,0,Champions
220,57,486.02,21,6138.38,4.11,8,1,Champions
4140,1,26.66,315,582.08,0.13,1,1,Lost
3958,5,70.5,243,380.02,0.24,1,0,Lost
1589,33,130.46,81,1744.62,3.16,5,0,Loyal
3348,16,129.76,197,1333.2,0.53,4,2,At Risk
3971,7,57.27,218,562.34,0.31,1,0,Lost
4708,6,26.45,352,509.99,0.15,1,0,Lost
44,45,437.74,16,10597.56,5.8,8,0,Champions
3002,11,72.6,198,856.41,1.26,2,2,At Risk
211,51,463.07,29,8388.61,5.41,6,1,Champions
678,32,508.1,26,10296.6,4.79,9,0,Champions
355,31,556.71,28,13336.5,5.99,9,1,Champions
1434,29,126.09,31,2297.45,2.21,3,1,Loyal
950,34,418.85,24,5675.03,4.98,8,1,Champions
2844,8,106.13,159,1356.51,0.92,4,3,At Risk
578,52,477.88,21,6366.01,5.52,7,1,Champions
